MTV-1,#genre#
王愛華+楓舞-獨戀君,http://em.21dtv.com/songs/60170431.mkv
王艷薇+呂孝廷-我的心脈,http://em.21dtv.com/songs/60170430.mkv
蔡依林-腦公,http://em.21dtv.com/songs/60170429.mkv
許藝娜-如夢令,http://em.21dtv.com/songs/60170428.mkv
阿斯滿+岳正劍-植茶歌,http://em.21dtv.com/songs/60170427.mkv
阿斯滿+阿東-贊拉之歌,http://em.21dtv.com/songs/60170426.mkv
飛歌+毒戀-云和雨的故事,http://em.21dtv.com/songs/60170425.mkv
麻花豆漿-南風北巷,http://em.21dtv.com/songs/60170424.mkv
GUMI-モザイクロール,http://em.21dtv.com/songs/60170423.mkv
HANA-心有不甘,http://em.21dtv.com/songs/60170422.mkv
One Ok Rock-Heartache,http://em.21dtv.com/songs/60170421.mkv
Ryan.B+狄迪-小鹿亂撞,http://em.21dtv.com/songs/60170420.mkv
T.a.t.A樂團-Say You Love Me,http://em.21dtv.com/songs/60170419.mkv
Yunomi+Nicamoq-東京シュノーケル,http://em.21dtv.com/songs/60170418.mkv
侯東+喻大維+劉成瑞+孫一杰+趙一桉+朱涵驛-Candy Girl,http://em.21dtv.com/songs/60170417.mkv
侯志斌-曾住在心里的人,http://em.21dtv.com/songs/60170416.mkv
劉繼延-我啊,http://em.21dtv.com/songs/60170415.mkv
孫伯綸-問明月,http://em.21dtv.com/songs/60170414.mkv
廖昌永-佛緣之路,http://em.21dtv.com/songs/60170413.mkv
慕容曉曉+鄭文-花月戀,http://em.21dtv.com/songs/60170412.mkv
時嘉+於洋-相思醉,http://em.21dtv.com/songs/60170411.mkv
曾黎-多情人都把靈魂給了誰,http://em.21dtv.com/songs/60170410.mkv
李潤祺-如果你要毀滅世界,http://em.21dtv.com/songs/60170409.mkv
程響-圍城,http://em.21dtv.com/songs/60170408.mkv
符龍飛-不能說,http://em.21dtv.com/songs/60170407.mkv
群星-國寶一夜,http://em.21dtv.com/songs/60170406.mkv
董雪-紅衣姑娘,http://em.21dtv.com/songs/60170405.mkv
蔡宗強(沒朋友的球鞋俠)-我加上你,http://em.21dtv.com/songs/60170404.mkv
蔡旻佑-問問愛情,http://em.21dtv.com/songs/60170403.mkv
鏡音リン-爐心融解,http://em.21dtv.com/songs/60170402.mkv
魯向卉-嘲笑孤單,http://em.21dtv.com/songs/60170401.mkv
龔柯允-Say The Word,http://em.21dtv.com/songs/60170400.mkv
李千那-曖昧林檎,http://em.21dtv.com/songs/60170399.mkv
白安-鑽石,http://em.21dtv.com/songs/60170398.mkv
艾怡良-給朱利安,http://em.21dtv.com/songs/60170397.mkv
Future-Jumpin on a Jet,http://em.21dtv.com/songs/60170396.mkv
L.long+衛允-初見,http://em.21dtv.com/songs/60170395.mkv
烏拉多恩-午夜,http://em.21dtv.com/songs/60170394.mkv
於湉-都挺好,http://em.21dtv.com/songs/60170393.mkv
任然-謝謝你,http://em.21dtv.com/songs/60170392.mkv
初音ミク+GUMI-月光潤色ガール,http://em.21dtv.com/songs/60170391.mkv
夏陽-樂活族,http://em.21dtv.com/songs/60170390.mkv
小艾神-暖暖的小幸福,http://em.21dtv.com/songs/60170389.mkv
尹姝貽-快來我的身邊,http://em.21dtv.com/songs/60170388.mkv
尹姝貽-愛我嗎,http://em.21dtv.com/songs/60170387.mkv
山野(李昊瀚)-我不在,http://em.21dtv.com/songs/60170386.mkv
慢慢說樂團-失眠電影院,http://em.21dtv.com/songs/60170385.mkv
新樂塵符+李思雨+林俊呈-完美體貼,http://em.21dtv.com/songs/60170384.mkv
李佳瑛+成林江措-前世姻緣今生的愛,http://em.21dtv.com/songs/60170383.mkv
桑娜-撤回,http://em.21dtv.com/songs/60170382.mkv
愛星人-無條件愛你,http://em.21dtv.com/songs/60170381.mkv
王乃迎-我還行,http://em.21dtv.com/songs/60170380.mkv
王梓鈺(音闕詩聽)-木橋小謠,http://em.21dtv.com/songs/60170379.mkv
胡66-殺青,http://em.21dtv.com/songs/60170378.mkv
賀一航-如果有一天,http://em.21dtv.com/songs/60170377.mkv
馬念先+9m88-你朝我的方向走來,http://em.21dtv.com/songs/60170376.mkv
魏新雨-顏如玉,http://em.21dtv.com/songs/60170375.mkv
黃麒Eros-初見,http://em.21dtv.com/songs/60170374.mkv
KinKi Kids-Music Of Life,http://em.21dtv.com/songs/60170373.mkv
Roselia-Brave Jewel,http://em.21dtv.com/songs/60170372.mkv
高天鶴+王凱+余笛+鞠紅川-II libro dell'amore,http://em.21dtv.com/songs/60170371.mkv
飯謎力-扶桑安魂曲,http://em.21dtv.com/songs/60170370.mkv
韓阿筎那-XX Boyfriend,http://em.21dtv.com/songs/60170369.mkv
陳博豪-他她,http://em.21dtv.com/songs/60170368.mkv
阿云嘎+鄭云龍-I'll Cover You,http://em.21dtv.com/songs/60170367.mkv
鐘一彪-真的愛你,http://em.21dtv.com/songs/60170366.mkv
郭靜-只為遇見你,http://em.21dtv.com/songs/60170365.mkv
鄧文怡+鄧力瑋-有點甜,http://em.21dtv.com/songs/60170364.mkv
鄧麗君-晚風花香,http://em.21dtv.com/songs/60170363.mkv
趙敬一-臨摹,http://em.21dtv.com/songs/60170362.mkv
胡杰夕-我們再也回不到從前,http://em.21dtv.com/songs/60170361.mkv
聶琳峰-我在麗水等你,http://em.21dtv.com/songs/60170360.mkv
聶琳峰-北漂人的眼淚,http://em.21dtv.com/songs/60170359.mkv
索朗扎西-湖南姑娘,http://em.21dtv.com/songs/60170358.mkv
白里格-生如夏花,http://em.21dtv.com/songs/60170357.mkv
琪琪格-看山看水看草原,http://em.21dtv.com/songs/60170356.mkv
珂蘭奶奶-寂寞醉心頭,http://em.21dtv.com/songs/60170355.mkv
王李騰子-我要出道,http://em.21dtv.com/songs/60170354.mkv
王李騰子+王建+李娟-我們的愛,http://em.21dtv.com/songs/60170353.mkv
王晰+蔡程昱+仝卓-友誼地久天長,http://em.21dtv.com/songs/60170352.mkv
無名原創音樂團隊-千秋歲引,http://em.21dtv.com/songs/60170351.mkv
歌一生-哥哥我愛你,http://em.21dtv.com/songs/60170350.mkv
夢葦-親親茉莉花,http://em.21dtv.com/songs/60170349.mkv
格根其木格-馬頭琴的傳說,http://em.21dtv.com/songs/60170348.mkv
李軍+夢葦-桃花賦,http://em.21dtv.com/songs/60170347.mkv
晨熙-我是真的愛過,http://em.21dtv.com/songs/60170346.mkv
曉晴-你是我的郎,http://em.21dtv.com/songs/60170345.mkv
張琦+周帥-狂暴飆車,http://em.21dtv.com/songs/60170344.mkv
張愛玲-今生今世跟你走,http://em.21dtv.com/songs/60170343.mkv
平凡的艾岩-欠我個未來,http://em.21dtv.com/songs/60170342.mkv
宋梓欣-蝸牛,http://em.21dtv.com/songs/60170341.mkv
安來寧-我會在陽光里等你回來,http://em.21dtv.com/songs/60170340.mkv
天亮-因為愛你,http://em.21dtv.com/songs/60170339.mkv
大贏家樂隊-我夢到了你的笑,http://em.21dtv.com/songs/60170338.mkv
夏譽軒-最美的遇見,http://em.21dtv.com/songs/60170337.mkv
吳軒華-陪你到老,http://em.21dtv.com/songs/60170336.mkv
傅堯-我們,http://em.21dtv.com/songs/60170335.mkv
信樂團+崔真真-不問,http://em.21dtv.com/songs/60170334.mkv
侯麗娟-英雄贊歌,http://em.21dtv.com/songs/60170333.mkv
侯麗娟-戰士與母親,http://em.21dtv.com/songs/60170332.mkv
余笛-Parla Più Piano,http://em.21dtv.com/songs/60170331.mkv
何秋蘋-老公老公你最帥氣,http://em.21dtv.com/songs/60170330.mkv
任代兵-紅塵劫,http://em.21dtv.com/songs/60170329.mkv
烏蘭其其格-愛上大草原,http://em.21dtv.com/songs/60170328.mkv
Xunday-父親,http://em.21dtv.com/songs/60170327.mkv
Xunday-星空,http://em.21dtv.com/songs/60170326.mkv
Xunday-不倒翁,http://em.21dtv.com/songs/60170325.mkv
伍鴻雋-池水之南,http://em.21dtv.com/songs/60170324.mkv
劉增瞳-合影留念,http://em.21dtv.com/songs/60170323.mkv
劉辰希-過客,http://em.21dtv.com/songs/60170322.mkv
南山秋木-我的小小世界,http://em.21dtv.com/songs/60170321.mkv
印子月-沖出車廂的女孩,http://em.21dtv.com/songs/60170320.mkv
孫霄磊-嘆郁孤,http://em.21dtv.com/songs/60170319.mkv
日笠陽子-美しき殘酷な世界,http://em.21dtv.com/songs/60170318.mkv
木秦-Warmer Winter暖冬,http://em.21dtv.com/songs/60170317.mkv
李建軒-全部都是你,http://em.21dtv.com/songs/60170316.mkv
李彩瑞(萌萌噠天團)-苦情樹,http://em.21dtv.com/songs/60170315.mkv
李袁杰-人辭故,http://em.21dtv.com/songs/60170314.mkv
林沛蕎-不完美存在,http://em.21dtv.com/songs/60170313.mkv
林沛蕎-出局,http://em.21dtv.com/songs/60170312.mkv
林沛蕎-夢想者,http://em.21dtv.com/songs/60170311.mkv
林沛蕎-隱形人,http://em.21dtv.com/songs/60170310.mkv
潘成+帶淚的魚-東欄梨花,http://em.21dtv.com/songs/60170309.mkv
王櫟鑫-合二為一,http://em.21dtv.com/songs/60170308.mkv
王櫟鑫-我想成為你眼中的唯一,http://em.21dtv.com/songs/60170307.mkv
石頭-晚一點遇見你,http://em.21dtv.com/songs/60170306.mkv
蔡國慶+蔡軒正-故宮里的小不點,http://em.21dtv.com/songs/60170305.mkv
許之糯-夢旅人,http://em.21dtv.com/songs/60170304.mkv
風語-曠谷幽蘭,http://em.21dtv.com/songs/60170303.mkv
龍千里+徐藝倫-觸動,http://em.21dtv.com/songs/60170302.mkv
音頻怪物-王者超凡,http://em.21dtv.com/songs/60170301.mkv
音頻怪物-周郎,http://em.21dtv.com/songs/60170300.mkv
音頻怪物-一戰封王,http://em.21dtv.com/songs/60170299.mkv
阿筠-春到桃花塢,http://em.21dtv.com/songs/60170298.mkv
鐘麗燕-我等伊人來,http://em.21dtv.com/songs/60170297.mkv
鄭知文-風中等候,http://em.21dtv.com/songs/60170296.mkv
西單女孩+瀟川-花不戀蝶蝶戀花,http://em.21dtv.com/songs/60170295.mkv
蕭憶情+汐音社-流浪地球 Interstellar wandering,http://em.21dtv.com/songs/60170294.mkv
蕭憶情-我的名字叫夢奇,http://em.21dtv.com/songs/60170293.mkv
蕭憶情-一劍天涯,http://em.21dtv.com/songs/60170292.mkv
蘇譚譚+佳鵬-渡我不渡她,http://em.21dtv.com/songs/60170291.mkv
蘇嬈-那時的我們呢,http://em.21dtv.com/songs/60170290.mkv
祈Inory-幻舞玲瓏,http://em.21dtv.com/songs/60170289.mkv
祈Inory-冰雪之華,http://em.21dtv.com/songs/60170288.mkv
祈Inory-元氣QQQ,http://em.21dtv.com/songs/60170287.mkv
王莉-南方有座山,http://em.21dtv.com/songs/60170286.mkv
王源-只要有想見的人 就不是孤身一人,http://em.21dtv.com/songs/60170284.mkv
王奕心-遇見你才懂愛情,http://em.21dtv.com/songs/60170283.mkv
王奕心-一直在等你回頭,http://em.21dtv.com/songs/60170282.mkv
王傳越-向烈士致敬,http://em.21dtv
.com/songs/60170281.mkv
洛天依-夜宴風波,http://em.21dtv.com/songs/60170280.mkv
湯夢佳-不能說,http://em.21dtv.com/songs/60170279.mkv
新奇-五湖四海,http://em.21dtv.com/songs/60170278.mkv
徐晶晶-有一個地方,http://em.21dtv.com/songs/60170277.mkv
張北北-給你唱過的歌,http://em.21dtv.com/songs/60170276.mkv
張東朗-單身稅,http://em.21dtv.com/songs/60170275.mkv
吳青峰-蜂鳥,http://em.21dtv.com/songs/60170274.mkv
台風少年團-騎士宣言,http://em.21dtv.com/songs/60170273.mkv
南徵北戰NZBZ-創兒,http://em.21dtv.com/songs/60170272.mkv
以冬+汐音社-瑕疵,http://em.21dtv.com/songs/60170271.mkv
五色石南葉-赴夢,http://em.21dtv.com/songs/60170270.mkv
五色石南葉-地獄之火,http://em.21dtv.com/songs/60170269.mkv
於金勝-情劍,http://em.21dtv.com/songs/60170268.mkv
於金勝-忘不了,http://em.21dtv.com/songs/60170267.mkv
Abby(3unshine)-Bubble Raising,http://em.21dtv.com/songs/60170266.mkv
Loren Gray-Queen,http://em.21dtv.com/songs/60170265.mkv
Luji-寂寞弧度,http://em.21dtv.com/songs/60170264.mkv
Midland-Burn Out,http://em.21dtv.com/songs/60170263.mkv
習譜予+Cyan Lpegd-醒來,http://em.21dtv.com/songs/60170262.mkv
以冬-瑕疵,http://em.21dtv.com/songs/60170261.mkv
任素汐-最佳損友,http://em.21dtv.com/songs/60170260.mkv
伊雪-歇歇腳,http://em.21dtv.com/songs/60170259.mkv
南徵北戰-創兒,http://em.21dtv.com/songs/60170258.mkv
雙笙+封茗囧菌-時光卷軸,http://em.21dtv.com/songs/60170257.mkv
吳青峰-蜂鳥,http://em.21dtv.com/songs/60170256.mkv
孟阿賽-只有愛過,http://em.21dtv.com/songs/60170255.mkv
小緣-藍圖章魚,http://em.21dtv.com/songs/60170254.mkv
崔阿扎-努力活着,http://em.21dtv.com/songs/60170253.mkv
徐譽滕+謝永晴+徐浩銘-會飛的豬,http://em.21dtv.com/songs/60170252.mkv
排骨教主-願,http://em.21dtv.com/songs/60170251.mkv
毛不易-叮嚀,http://em.21dtv.com/songs/60170250.mkv
瀟敏-月上西樓,http://em.21dtv.com/songs/60170249.mkv
蓋雨嘉-我想成為你眼中的唯一,http://em.21dtv.com/songs/60170248.mkv
三無MarBlue-被偽造的偶像,http://em.21dtv.com/songs/60170247.mkv
專家Dickson-公開道歉,http://em.21dtv.com/songs/60170246.mkv
南徵北戰-如果還有時間,http://em.21dtv.com/songs/60170245.mkv
雙笙-單向箭頭,http://em.21dtv.com/songs/60170244.mkv
吳若希-暗中愛我,http://em.21dtv.com/songs/60170243.mkv
大壯-偽裝,http://em.21dtv.com/songs/60170242.mkv
大笑-緊緊,http://em.21dtv.com/songs/60170241.mkv
李昕融-恭喜發財紅包拿來,http://em.21dtv.com/songs/60170240.mkv
林京燁(那對夫妻)-煙火,http://em.21dtv.com/songs/60170239.mkv
梁龍-你干嘛呢,http://em.21dtv.com/songs/60170238.mkv
武藝-小奶狗,http://em.21dtv.com/songs/60170237.mkv
汪小敏-誰也不知道,http://em.21dtv.com/songs/60170236.mkv
沙寶亮-心有所棲,http://em.21dtv.com/songs/60170235.mkv
塗毓麟-二人一世界,http://em.21dtv.com/songs/60170234.mkv
神龍妹子團-夢想十萬伏特,http://em.21dtv.com/songs/60170233.mkv
譚維維-過春天,http://em.21dtv.com/songs/60170232.mkv
陳奕迅-瘋狂的朋友,http://em.21dtv.com/songs/60170231.mkv
陳松伶-有我便有你,http://em.21dtv.com/songs/60170230.mkv
黃子佼-言不由衷,http://em.21dtv.com/songs/60170229.mkv
黃子佼-雄雄想起伊來,http://em.21dtv.com/songs/60170228.mkv
Breaking Benjamin-Tourniquet,http://em.21dtv.com/songs/60170227.mkv
Cody Johnson-On My Way To You,http://em.21dtv.com/songs/60170226.mkv
Ella Mai-Sauce,http://em.21dtv.com/songs/60170225.mkv
Monsta X-Shine Forever,http://em.21dtv.com/songs/60170224.mkv
ONEUS-Valkyrie,http://em.21dtv.com/songs/60170223.mkv
何思諭-放假,http://em.21dtv.com/songs/60170222.mkv
吳雨璇-也不是非愛你不可,http://em.21dtv.com/songs/60170221.mkv
吳雨璇-渺小的倔強,http://em.21dtv.com/songs/60170220.mkv
圈圈寶貝-元宵,http://em.21dtv.com/songs/60170219.mkv
小旭樂團-奇靈之心,http://em.21dtv.com/songs/60170218.mkv
小熊餅干-我們,http://em.21dtv.com/songs/60170217.mkv
小野馬-旁觀者,http://em.21dtv.com/songs/60170216.mkv
彥希-Riddle,http://em.21dtv.com/songs/60170215.mkv
曲肖冰-我是真的愛上你,http://em.21dtv.com/songs/60170214.mkv
朴銀花-歡騰的海蘭江,http://em.21dtv.com/songs/60170213.mkv
杜海濤-更上一層樓,http://em.21dtv.com/songs/60170212.mkv
潘馬達-給孩子的歌,http://em.21dtv.com/songs/60170211.mkv
王理文-習慣你的好,http://em.21dtv.com/songs/60170210.mkv
田蕊妮-最親,http://em.21dtv.com/songs/60170209.mkv
秦四風+黃琬婷-晚安,http://em.21dtv.com/songs/60170208.mkv
胡歌-烏云然,http://em.21dtv.com/songs/60170207.mkv
芋頭+阿衣子章-Money Girl,http://em.21dtv.com/songs/60170206.mkv
萌萌噠天團-小公主,http://em.21dtv.com/songs/60170205.mkv
阿拉泰-這是我的家鄉,http://em.21dtv.com/songs/60170204.mkv
黃子韜-單身,http://em.21dtv.com/songs/60170203.mkv
黃梅戲-山伯臨終,http://em.21dtv.com/songs/60170202.mkv
鄭少秋-山伯臨終,http://em.21dtv.com/songs/60170201.mkv
潘啟才-江水滔滔向東流,http://em.21dtv.com/songs/60170200.mkv
大星+郭婭麗-新走西口,http://em.21dtv.com/songs/60170199.mkv
郭宴-雕刻時光,http://em.21dtv.com/songs/60170198.mkv
郭宴-遇見,http://em.21dtv.com/songs/60170197.mkv
郭宴-帶着天真去流浪,http://em.21dtv.com/songs/60170196.mkv
郭宴-好久不見,http://em.21dtv.com/songs/60170195.mkv
郭宴-烏蘭巴托的夜,http://em.21dtv.com/songs/60170194.mkv
郭宴-Love is over,http://em.21dtv.com/songs/60170193.mkv
菊梓喬Hana-但願人長久,http://em.21dtv.com/songs/60170192.mkv
秦博-好嗨喲,http://em.21dtv.com/songs/60170191.mkv
田飛-紅塵念,http://em.21dtv.com/songs/60170190.mkv
晨熙-你不再屬於我,http://em.21dtv.com/songs/60170189.mkv
張家瑞-姮,http://em.21dtv.com/songs/60170188.mkv
劉軍-感激,http://em.21dtv.com/songs/60170187.mkv
余秋童-兄弟濃如酒,http://em.21dtv.com/songs/60170186.mkv
任妙音-想這樣的想你,http://em.21dtv.com/songs/60170185.mkv
Coco這個李文-親親抱抱舉高高,http://em.21dtv.com/songs/60170184.mkv
Skot Suyama-愛你,http://em.21dtv.com/songs/60170183.mkv
何璟昕-若你伴我,http://em.21dtv.com/songs/60170182.mkv
侯錦堯(挺齊全戰隊)-愛自己,http://em.21dtv.com/songs/60170181.mkv
劉剛-豬事順利,http://em.21dtv.com/songs/60170180.mkv
劉志遠-又能如何,http://em.21dtv.com/songs/60170179.mkv
劍仙-一起遠走,http://em.21dtv.com/songs/60170178.mkv
奇然+小魂-以沫,http://em.21dtv.com/songs/60170177.mkv
尼格買提·熱合曼-時光,http://em.21dtv.com/songs/60170176.mkv
山下智久-Right Moves,http://em.21dtv.com/songs/60170175.mkv
崔一喬-西安生活,http://em.21dtv.com/songs/60170174.mkv
林威-不聯絡,http://em.21dtv.com/songs/60170173.mkv
花僮-不如來飲酒,http://em.21dtv.com/songs/60170172.mkv
莫艷琳+余楓-花開花落,http://em.21dtv.com/songs/60170171.mkv
金南玲-如何是好,http://em.21dtv.com/songs/60170170.mkv
金帥-萬花筒,http://em.21dtv.com/songs/60170169.mkv
阿悄-雨夜行,http://em.21dtv.com/songs/60170168.mkv
陸宇鵬-堅持奔跑的人,http://em.21dtv.com/songs/60170167.mkv
陳瑋鑌-生存定律,http://em.21dtv.com/songs/60170166.mkv
隔壁老樊-關於孤獨我想說的話,http://em.21dtv.com/songs/60170165.mkv
馬沂茹-想你我關燈,http://em.21dtv.com/songs/60170164.mkv
Dough-boy+王嘉爾-MK Circus,http://em.21dtv.com/songs/60170163.mkv
Jony J-My Man,http://em.21dtv.com/songs/60170162.mkv
Jony J-泛濫,http://em.21dtv.com/songs/60170161.mkv
One Promise-一步,http://em.21dtv.com/songs/60170160.mkv
丁曉君-芝麻人生,http://em.21dtv.com/songs/60170159.mkv
萬曉利-狐狸,http://em.21dtv.com/songs/60170158.mkv
台風少年團-姐姐戀愛吧,http://em.21dtv.com/songs/60170157.mkv
葉洛洛-寫給我第一個喜歡的女孩的歌,http://em.21dtv.com/songs/60170156.mkv
姜晗+w小婉君-靈魂伴侶,http://em.21dtv.com/songs/60170155.mkv
孔陽-愛You Ready愛我Ready,http://em.21dtv.com/songs/60170154.mkv
孟凡明-某某,http://em.21dtv.com/songs/60170153.mkv
尹姝貽-逆流而上的你,http://em.21dtv.com/songs/60170152.mkv
張靚穎+蔡國慶+張杰+白雪-相約世界,http://em.21dtv.com/songs/60170151.mkv
挺齊全戰隊(楊昊銘+丁立+候錦堯)-On My Way,http://em.21dtv.com/songs/60170150.mkv
洛天依-夜間出租車,http://em.21dtv.com/songs/60170149.mkv
玄觴+雙笙-千夢,http://em.21dtv.com/songs/60170148.mkv
蘇永康-All That Jazz,http://em.21dtv.com/songs/60170147.mkv
蔡徐坤-沒有意外,http://em.21dtv.com/songs/60170146.mkv
郭白雪-你的眉毛在笑,http://em.21dtv.com/songs/60170145.mkv
陳樂一-夜間出租車,http://em.21dtv.com/songs/60170144.mkv
陳蕾-當我迷失時聽着的歌,http://em.21dtv.com/songs/60170143.mkv
陳詩怡+蕭全-小仙女,http://em.21dtv.com/songs/60170142.mkv
鞠婧禕-天長,http://em.21dtv.com/songs/60170141.mkv
隔壁老樊-我曾,http://em.21dtv.com/songs/60170140.mkv
Lil Wayne+Ty Dolla $ign+XXXTentacion-Scared Of The Dark,http://em.21dtv.com/songs/60170139.mkv
MC夢澤-愛的魔力轉圈圈,http://em.21dtv.com/songs/60170138.mkv
The Beatles-While My Guitar Gently Weeps,http://em.21dtv.com/songs/60170137.mkv
尚東峰-見題,http://em.21dtv.com/songs/60170136.mkv
岑寧兒+陳奕迅-一秒,http://em.21dtv.com/songs/60170135.mkv
林隆璇-我也很想相信,http://em.21dtv.com/songs/60170134.mkv
王嘉儀-微物,http://em.21dtv.com/songs/60170133.mkv
王源-只要有想見的人就不是孤身一人,http://em.21dtv.com/songs/60170132.mkv
田蕊妮-百年不合,http://em.21dtv.com/songs/60170131.mkv
田蕊妮-等,http://em.21dtv.com/songs/60170130.mkv
神奇膠-紫色黎明,http://em.21dtv.com/songs/60170129.mkv
連詩雅-孤身走,http://em.21dtv.com/songs/60170128.mkv
高安-毒解藥,http://em.21dtv.com/songs/60170127.mkv
黃妍-貪睡的人,http://em.21dtv.com/songs/60170126.mkv
黃淑蔓-很久不見,http://em.21dtv.com/songs/60170125.mkv
黑晨曦-什么,http://em.21dtv.com/songs/60170124.mkv
黃迎迎-閬中是我家,http://em.21dtv.com/songs/60170123.mkv
黃家駒+大鵬-再見理想,http://em.21dtv.com/songs/60170122.mkv
陳花生-白日夢,http://em.21dtv.com/songs/60170121.mkv
陳立農-一半是我,http://em.21dtv.com/songs/60170120.mkv
陳奕迅+eason and the duo band-瘋狂的朋友,http://em.21dtv.com/songs/60170119.mkv
鐘立帥-我以為不會,http://em.21dtv.com/songs/60170118.mkv
鐘立帥-Never cry,http://em.21dtv.com/songs/60170117.mkv
貳嬸-狩獵盛宴,http://em.21dtv.com/songs/60170116.mkv
貳嬸-奕東風,http://em.21dtv.com/songs/60170115.mkv
草原情聖+天駿-古鎮石橋醉巴山,http://em.21dtv.com/songs/60170114.mkv
胡莎莎+武麟-招搖,http://em.21dtv.com/songs/60170113.mkv
胡夏-何為永恆,http://em.21dtv.com/songs/60170112.mkv
璟年-沈園別,http://em.21dtv.com/songs/60170111.mkv
王心凌-愛的重量,http://em.21dtv.com/songs/60170110.mkv
焰凌-畢業禮,http://em.21dtv.com/songs/60170109.mkv
洪安豆+洪安米-雙星報喜,http://em.21dtv.com/songs/60170108.mkv
河圖-滄海之曜,http://em.21dtv.com/songs/60170107.mkv
河圖-影子,http://em.21dtv.com/songs/60170106.mkv
李常超+汐音社-霞客游,http://em.21dtv.com/songs/60170105.mkv
朵久央+熊慶懷-純沙酒香,http://em.21dtv.com/songs/60170104.mkv
常思思-美從江上流淌,http://em.21dtv.com/songs/60170103.mkv
小叉系-我的開心果,http://em.21dtv.com/songs/60170102.mkv
小叉系-習慣而已,http://em.21dtv.com/songs/60170101.mkv
可力-一個人不自由,http://em.21dtv.com/songs/60170100.mkv
叫ぶ獣-念斗章,http://em.21dtv.com/songs/60170099.mkv
叫ぶ獣-夕山謠,http://em.21dtv.com/songs/60170098.mkv
劉秉義-我為祖國獻石油,http://em.21dtv.com/songs/60170097.mkv
凌希-失寵,http://em.21dtv.com/songs/60170096.mkv
凌希-不具名,http://em.21dtv.com/songs/60170095.mkv
馮佳怡-驕傲的幸福,http://em.21dtv.com/songs/60170094.mkv
何鵬+劉桐-黃土情,http://em.21dtv.com/songs/60170093.mkv
於藝朮-我想冷靜,http://em.21dtv.com/songs/60170092.mkv
於藝朮-偷偷的,http://em.21dtv.com/songs/60170091.mkv
